fiveminstamp,datausage
01/01/2016 0:00,10136284
01/01/2016 0:05,8557681
01/01/2016 0:10,9429061
01/01/2016 0:15,8929962
01/01/2016 0:20,10468377
01/01/2016 0:25,8862277
01/01/2016 0:30,8890057
01/01/2016 0:35,7717559
01/01/2016 0:40,7179188
01/01/2016 0:45,7296139
01/01/2016 0:50,7961268
01/01/2016 0:55,8180290
01/01/2016 1:00,11996668
01/01/2016 1:05,9009506
01/01/2016 1:10,9890539
01/01/2016 1:15,6933180
01/01/2016 1:20,7175687
01/01/2016 1:25,8263781
01/01/2016 1:30,7445772
01/01/2016 1:35,8480847
01/01/2016 1:40,8219161
01/01/2016 1:45,7885539
01/01/2016 1:50,8116332
01/01/2016 1:55,7450320
01/01/2016 2:00,10570010
01/01/2016 2:05,9205080
01/01/2016 2:10,7393345
01/01/2016 2:15,6653871
01/01/2016 2:20,8073066
01/01/2016 2:25,8135764
01/01/2016 2:30,7739992
01/01/2016 2:35,7883389
01/01/2016 2:40,7806060
01/01/2016 2:45,7234360
01/01/2016 2:50,7412077
01/01/2016 2:55,8248596
01/01/2016 3:00,23915788
01/01/2016 3:05,6438515
01/01/2016 3:10,9375553
01/01/2016 3:15,7511768
01/01/2016 3:20,9865630
01/01/2016 3:25,7959143
01/01/2016 3:30,6259928
01/01/2016 3:35,7164136
01/01/2016 3:40,7632261
01/01/2016 3:45,7558044
01/01/2016 3:50,7281120
01/01/2016 3:55,7236847
01/01/2016 4:00,9263793
01/01/2016 4:05,6894827
01/01/2016 4:10,8245016
01/01/2016 4:15,7437186
01/01/2016 4:20,7917435
01/01/2016 4:25,7399376
01/01/2016 4:30,6611257
01/01/2016 4:35,7257824
01/01/2016 4:40,6875222
01/01/2016 4:45,6930814
01/01/2016 4:50,6479937
01/01/2016 4:55,8189626
01/01/2016 5:00,10262280
01/01/2016 5:05,8669299
01/01/2016 5:10,7992841
01/01/2016 5:15,8328348
01/01/2016 5:20,6804944
01/01/2016 5:25,8062899
01/01/2016 5:30,7814963
01/01/2016 5:35,8921094
01/01/2016 5:40,8468797
01/01/2016 5:45,7831229
01/01/2016 5:50,8740842
01/01/2016 5:55,7159717
01/01/2016 6:00,7701127
01/01/2016 6:05,8995761
01/01/2016 6:10,9353404
01/01/2016 6:15,7045514
01/01/2016 6:20,6337711
01/01/2016 6:25,9131584
01/01/2016 6:30,6679156
01/01/2016 6:35,5820834
01/01/2016 6:40,8149764
01/01/2016 6:45,8320353
01/01/2016 6:50,6597727
01/01/2016 6:55,8752262
01/01/2016 7:00,9491295
01/01/2016 7:05,7613729
01/01/2016 7:10,8469256
01/01/2016 7:15,6909425
01/01/2016 7:20,8632285
01/01/2016 7:25,7114520
01/01/2016 7:30,8204334
01/01/2016 7:35,7031302
01/01/2016 7:40,9096042
01/01/2016 7:45,7084960
01/01/2016 7:50,6550868
01/01/2016 7:55,7643304
01/01/2016 8:00,8019165
01/01/2016 8:05,6487924
01/01/2016 8:10,7426273
01/01/2016 8:15,6997669
01/01/2016 8:20,7334765
01/01/2016 8:25,7386764
01/01/2016 8:30,8217427
01/01/2016 8:35,6920200
01/01/2016 8:40,6572888
01/01/2016 8:45,7351857
01/01/2016 8:50,6643504
01/01/2016 8:55,8406091
01/01/2016 9:00,8609936
01/01/2016 9:05,7009144
01/01/2016 9:10,8386866
01/01/2016 9:15,7199892
01/01/2016 9:20,7704097
01/01/2016 9:25,7529846
01/01/2016 9:30,7591883
01/01/2016 9:35,8212648
01/01/2016 9:40,7119629
01/01/2016 9:45,8520812
01/01/2016 9:50,8568493
01/01/2016 9:55,6803017
01/01/2016 10:00,7781712
01/01/2016 10:05,8264702
01/01/2016 10:10,7841712
01/01/2016 10:15,7568774
01/01/2016 10:20,7383886
01/01/2016 10:25,9311529
01/01/2016 10:30,8477353
01/01/2016 10:35,7381335
01/01/2016 10:40,7533893
01/01/2016 10:45,9050433
01/01/2016 10:50,8178995
01/01/2016 10:55,10081295
01/01/2016 11:00,9517819
01/01/2016 11:05,7701692
01/01/2016 11:10,9096309
01/01/2016 11:15,7377000
